
mc\lr	  0.1       0.2       0.3       0.4       0.5       0.6       0.7       0.8       0.9
=============================================================================================
0.0    0.4399    0.5275    0.5963    0.6290    0.5847    0.6107    0.5947    0.5680    0.5473
0.1    0.4686    0.5258    0.5694    0.6296    0.6173    0.6187    0.6328    0.5834    0.6273
0.2    0.4325    0.5200    0.6144    0.6477    0.6331    0.6514    0.6378    0.6437    0.6495
0.3    0.4455    0.5409    0.5638    0.6334    0.6060    0.6327    0.6673    0.6924    0.6672
0.4    0.4164    0.5329    0.5884    0.5974    0.6020    0.6371    0.6812    0.6542    0.6748
0.5    0.4721    0.5369    0.5525    0.5953    0.6170    0.6278    0.6895    0.6824    0.6496
0.6    0.4473    0.5053    0.5578    0.5879    0.5553    0.6593    0.6342    0.6868    0.6927
0.7    0.4092    0.5049    0.5549    0.5701    0.6103    0.6534    0.6213    0.6541    0.6571
0.8    0.3405    0.4321    0.5616    0.5855    0.6168    0.6138    0.6189    0.6702    0.6404
0.9    0.1483    0.1865    0.1578    0.1863    0.1986    0.2964    0.2179    0.2294    0.3538

Optimal at (lr, mc) = (0.9, 0.6). F1 measure = 0.6927.

For fixed optimal parameters: optimal hidden neurons (single layer) is 50, F1 measure is 0.8207.

